Date,Price,Final_Verdict,Market_Reality,Correct,Weighted_Score,CE_Article_Count,CE_Sentiment,CE_Mean_Score,CE_Sentiment_Score,CE_Confidence,CE_Explanation,TTS_Score,TTS_Signal,TTS_Explanation,SIV_Signal,SIV_Explanation,Verdict_Reasoning,Exit_Reason,Execution_Time_Seconds
09/21/2023,0.3851,SELL,BEARISH,True,-0.7248,22.0,BEARISH,0.814,-0.0696,MODERATE,pending_explanation,-0.3119,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7248 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.316
09/22/2023,0.3829,SELL,BEARISH,True,-0.736,45.0,BEARISH,0.7942,-0.2309,HIGH,pending_explanation,-0.3401,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.736 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,1.7933
09/25/2023,0.3816,SELL,BEARISH,True,-0.7422,26.0,BEARISH,0.8212,-0.1812,HIGH,pending_explanation,-0.3554,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7422 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.4304
09/26/2023,0.3831,SELL,BEARISH,True,-0.7325,12.0,BEARISH,0.6881,-0.4209,LOW,pending_explanation,-0.3312,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7325 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1864
09/27/2023,0.381,SELL,BULLISH,False,-0.7425,7.0,BEARISH,0.854,-0.1354,LOW,pending_explanation,-0.3562,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7425 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1132
09/28/2023,0.3797,BUY,BULLISH,True,0.4565,12.0,BULLISH,0.8659,0.2544,LOW,pending_explanation,-0.3587,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.4565 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2017
09/29/2023,0.3795,HOLD,BULLISH,False,-0.149,17.0,NEUTRAL,0.7433,-0.0494,MODERATE,pending_explanation,-0.3726,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.149 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.257
10/02/2023,0.3783,BUY,BULLISH,True,0.4486,31.0,BULLISH,0.7521,0.112,HIGH,pending_explanation,-0.3786,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.4486 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.6566
10/03/2023,0.3803,BUY,BULLISH,True,0.4603,10.0,BULLISH,0.8369,0.1682,LOW,pending_explanation,-0.3493,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=0.4603 → BUY (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.3028
10/04/2023,0.3801,SELL,BULLISH,False,-0.7408,20.0,BEARISH,0.7709,-0.0594,MODERATE,pending_explanation,-0.3519,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7408 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,1.0066
10/05/2023,0.3816,HOLD,BEARISH,False,-0.1301,16.0,NEUTRAL,0.7959,0.0489,MODERATE,pending_explanation,-0.3253,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.1301 → HOLD (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",HOLD_SKIP,0.2345
10/06/2023,0.3795,SELL,BULLISH,False,-0.7414,18.0,BEARISH,0.7062,-0.2225,MODERATE,pending_explanation,-0.3534,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7414 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2885
10/09/2023,0.383,SELL,BEARISH,True,-0.6836,7.0,BEARISH,0.8221,-0.108,LOW,pending_explanation,-0.2091,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.6836 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1368
10/10/2023,0.3821,SELL,BEARISH,True,-0.7244,14.0,BEARISH,0.8124,-0.2776,LOW,pending_explanation,-0.311,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7244 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1843
10/11/2023,0.3803,SELL,BEARISH,True,-0.7338,8.0,BEARISH,0.7012,-0.1916,LOW,pending_explanation,-0.3346,SELL,pending_explanation,COHERENT,pending_explanation,"[backtest deterministic] weighted_score=-0.7338 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.1772
10/12/2023,0.3779,SELL,BULLISH,False,-0.2249,17.0,NEUTRAL,0.8203,0.0386,MODERATE,pending_explanation,-0.5623,SELL,pending_explanation,PARTIAL,pending_explanation,"[backtest deterministic] weighted_score=-0.2249 → SELL (thresholds: >=0.15 BUY, <=-0.15 SELL, else HOLD)",TIME,0.2809
